"ID"	"Name Goods"	"Uri Goods"	"Created At"	"Name"	"Name"
"1707"	"Плита индукционная GEMLUX GL-IC220HP"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_induktsionnaya_gemlux_gl_ic220hp/"	"2018-03-06 14:27:22"	"Gemlux kush "	"Плиты индукционные"
"1708"	"Плита индукционная GEMLUX GL-IC3513"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_induktsionnaya_gemlux_gl_ic3513/"	"2018-03-06 14:27:22"	"Gemlux kush "	"Плиты индукционные"
"1709"	"Плита индукционная GEMLUX GL-IC3510PRO"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_induktsionnaya_gemlux_gl_ic3510pro/"	"2018-03-06 14:27:22"	"Gemlux kush "	"Плиты индукционные"
"1710"	"Плита индукционная GEMLUX GL-IC3505"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_induktsionnaya_gemlux_gl_ic3505/"	"2018-03-06 14:27:22"	"Gemlux kush "	"Плиты индукционные"
"1711"	"Плита индукционная GEMLUX GL-IC3100WPRO"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_induktsionnaya_gemlux_gl_ic3100wpro/"	"2018-03-06 14:27:22"	"Gemlux kush "	"Плиты индукционные"
"1712"	"Плита индукционная GEMLUX GL-IP290D"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_induktsionnaya_gemlux_gl_ip290d/"	"2018-03-06 14:27:22"	"Gemlux kush "	"Плиты индукционные"
"1713"	"Плита индукционная GEMLUX GL-IP28TC"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_induktsionnaya_gemlux_gl_ip28tc/"	"2018-03-06 14:27:25"	"Gemlux kush "	"Плиты индукционные"
"1714"	"Плита индукционная GEMLUX GL-IP1718ULTRA"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_induktsionnaya_gemlux_gl_ip1718ultra/"	"2018-03-06 14:27:25"	"Gemlux kush "	"Плиты индукционные"
"1715"	"Плита индукционная GEMLUX GL-IP20ULTRA"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_induktsionnaya_gemlux_gl_ip20ultra/"	"2018-03-06 14:27:25"	"Gemlux kush "	"Плиты индукционные"
"1716"	"Плита индукционная GEMLUX GL-IP212"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_induktsionnaya_gemlux_gl_ip212/"	"2018-03-06 14:27:25"	"Gemlux kush "	"Плиты индукционные"
"1717"	"Плита индукционная GEMLUX GL-IP211"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_induktsionnaya_gemlux_gl_ip211/"	"2018-03-06 14:27:25"	"Gemlux kush "	"Плиты индукционные"
"1718"	"Плита индукционная GEMLUX GL-CIC35W"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_induktsionnaya_gemlux_gl_cic35w/"	"2018-03-06 14:27:25"	"Gemlux kush "	"Плиты индукционные"
"1719"	"Плита индукционная GEMLUX GL-IP3535"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_induktsionnaya_gemlux_gl_ip3535/"	"2018-03-06 14:27:25"	"Gemlux kush "	"Плиты индукционные"
